City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
448,avera,33.194,-82.5271,65.71,80,100,6.69,US,1675994742
449,innisfail,-17.5333,146.0333,81.86,79,96,3.98,AU,1675994560
450,loandjili,-4.7561,11.8578,82.51,78,40,8.05,CG,1675994743
451,billings,45.7833,-108.5007,35.17,43,0,12.66,US,1675994723
452,boddam,57.4667,-1.7833,43.43,80,100,13.65,GB,1675994744
453,nemuro,43.3236,145.575,14.68,60,40,4.34,JP,1675994744
454,huangchuan,32.1272,115.0394,43.59,74,100,6.04,CN,1675994745
455,abramovka,51.1886,41.0202,17.19,97,100,5.46,RU,1675994745
456,jalu,29.0331,21.5482,53.42,59,2,7.76,LY,1675994746
457,buxton,53.2574,-1.9098,37.42,87,99,5.23,GB,1675994746
458,kasongo-lunda,-6.4667,16.8167,68.79,97,15,0.51,CD,1675994747
459,the valley,18.217,-63.0578,78.1,74,0,22.91,AI,1675994506
460,noyabrsk,63.1994,75.4507,-1.95,99,93,11.95,RU,1675994747
461,celestun,20.8667,-90.4,76.87,79,58,9.71,MX,1675994748
462,fairbanks,64.8378,-147.7164,-0.4,80,98,2.37,US,1675994700
463,ardakan,32.31,54.0175,35.89,88,92,6.76,IR,1675994749
464,yarada,17.65,83.2667,70.12,100,69,2.3,IN,1675994749
465,mandera,3.9366,41.867,76.33,53,0,6.04,KE,1675994750
466,kutum,14.2,24.6667,58.42,15,97,7.09,SD,1675994750
467,rio gallegos,-51.6226,-69.2181,57.25,44,20,12.66,AR,1675994751
468,tessalit,20.1986,1.0114,68.07,13,3,10.92,ML,1675994751
469,santo antonio do sudoeste,-26.0736,-53.7253,67.86,84,93,3.8,BR,1675994751
470,ouargaye,11.5033,0.0572,78.28,12,4,9.84,BF,1675994752
471,suntar,62.1444,117.6319,-18.72,95,100,3.94,RU,1675994753
472,atambua,-9.1061,124.8925,78.49,79,100,5.88,ID,1675994753
473,egvekinot,66.3167,-179.1667,-21.42,87,87,6.31,RU,1675994753
474,hami,42.8,93.45,34.38,36,53,1.36,CN,1675994533
475,lishui,28.4604,119.9103,52.61,94,100,2.24,CN,1675994754
476,kayanza,-3.0667,29.6667,55.13,91,50,0.34,BI,1675994755
477,mayya,61.7333,130.2811,-49.68,96,75,2.28,RU,1675994755
478,pemangkat,1.1667,108.9667,81.05,77,87,0.49,ID,1675994756
479,port lincoln,-34.7333,135.8667,71.65,63,7,18.41,AU,1675994756
480,yershov,51.3513,48.2766,5.04,100,100,2.04,RU,1675994757
481,zapolyarnyy,69.4154,30.8136,29.48,94,100,17.22,RU,1675994757
482,bulawayo,-20.15,28.5833,62.35,92,67,4.23,ZW,1675994758
483,rabo de peixe,37.8,-25.5833,54.91,71,20,11.5,PT,1675994758
484,escanaba,45.7453,-87.0646,35.56,85,100,16.11,US,1675994758
485,horconcitos,8.4682,-81.8007,66.13,87,98,8.34,PA,1675994759
486,raga,8.4596,25.678,66.25,17,12,4.09,SS,1675994760
487,severo-yeniseyskiy,60.3725,93.0408,-25.01,100,99,2.68,RU,1675994760
488,mahajanga,-15.7167,46.3167,73.42,100,40,5.75,MG,1675994761
489,vardo,70.3705,31.1107,28.38,80,75,17.27,NO,1675994761
490,sorong,-0.8833,131.25,82.31,73,99,6.17,ID,1675994756
491,dubuque,42.4833,-90.8668,34.5,75,100,16.11,US,1675994764
492,tangua,-22.7303,-42.7142,71.24,96,100,2.44,BR,1675994767
493,sartana,47.1744,37.6927,24.8,68,92,4.72,UA,1675994769
494,baghdad,33.3406,44.4009,37.31,70,0,2.3,IQ,1675994671
495,san isidro,-12.1167,-77.05,79.02,76,20,17.27,PE,1675994775
496,kinkala,-4.3614,14.7644,71.46,93,75,2.75,CG,1675994777
497,cache creek,50.8101,-121.3246,35.83,98,97,6.15,CA,1675994563
498,clyde river,70.4692,-68.5914,-34.37,67,0,8.05,CA,1675994782
499,guatire,10.4762,-66.5427,74.19,98,100,1.99,VE,1675994786
500,barra do garcas,-15.89,-52.2567,75.24,85,100,1.12,BR,1675994788
501,kharp,66.8014,65.8081,21.42,91,100,6.35,RU,1675994796
502,abu samrah,35.3029,37.1841,37.58,63,100,5.66,SY,1675994797
503,myrtle beach,33.6891,-78.8867,66.11,84,0,5.75,US,1675994512
504,naze,28.3667,129.4833,63.52,87,100,17.38,JP,1675994798
505,salinopolis,-0.6136,-47.3561,78.17,86,21,8.68,BR,1675994799
506,ribeira brava,32.65,-17.0667,62.01,81,100,9.53,PT,1675994799
507,do gonbadan,30.3586,50.7981,33.89,80,0,0.0,IR,1675994800
508,gimli,50.6336,-96.9907,14.02,48,14,4.61,CA,1675994701
509,alexandria,31.2156,29.9553,46.94,59,0,4.81,EG,1675994800
510,amnat charoen,15.9167,104.75,85.46,45,70,11.7,TH,1675994801
511,norwich,52.6278,1.2983,34.32,84,68,6.91,GB,1675994801
512,conde,-7.2597,-34.9075,76.46,94,40,4.61,BR,1675994802
513,karratha,-20.7377,116.8463,92.66,49,1,11.83,AU,1675994802
514,cabedelo,-6.9811,-34.8339,77.67,81,28,11.03,BR,1675994803
515,ulladulla,-35.35,150.4667,79.0,55,2,7.99,AU,1675994804
516,channel-port aux basques,47.5702,-59.1367,22.41,69,80,17.94,CA,1675994804
